site,title,company,job_url,location,date_posted,search_query,target_region,visa_sponsorship,visa_type
indeed,Finance Data Science & Analytics Manager,Cynergy Bank,https://uk.indeed.com/viewjob?jk=3ad377b57f7e20ca,"London, ENG, GB",2026-07-08,Data Analyst,United Kingdom,N,Not Mentioned
indeed,"Quantitative Analyst V&S - Crude, Products, and Freight",ExxonMobil,https://uk.indeed.com/viewjob?jk=1d11f80ad6434c8e,"London, ENG, GB",2026-07-08,Data Analyst,United Kingdom,N,Not Mentioned
indeed,"Senior Analyst - Planning, Allocation & Pricing Systems",Michael Kors,https://uk.indeed.com/viewjob?jk=ee656385fb3d58c3,"London, ENG, GB",2026-07-08,Data Analyst,United Kingdom,N,Not Mentioned
indeed,First Team Performance Analyst,Leicester City Football Club,https://uk.indeed.com/viewjob?jk=010cf4a53a75f4bf,"Loughborough, ENG, GB",2026-07-08,Data Analyst,United Kingdom,N,Not Mentioned
indeed,Banking Operations Data Governance Analyst,Sumitomo Group,https://uk.indeed.com/viewjob?jk=04511323c0eff304,"London, ENG, GB",2026-07-02,Data Analyst,United Kingdom,N,Not Mentioned
linkedin,Data Analyst,mthree,https://www.linkedin.com/jobs/view/4433985478,"Sheffield, England, UK",2026-07-06,Data Analyst,United Kingdom,N,Not Mentioned
linkedin,Data Analyst (SQL & Python),Legal & General,https://www.linkedin.com/jobs/view/4437141545,"Brighton And Hove, England, UK",2026-07-06,Data Analyst,United Kingdom,N,Not Mentioned
linkedin,Data Analyst II,ENSEK,https://www.linkedin.com/jobs/view/4436240132,"Nottingham, England, UK",2026-07-06,Data Analyst,United Kingdom,N,Not Mentioned
linkedin,Digital Performance Analyst,Opencast | B Corp™,https://www.linkedin.com/jobs/view/4432356385,"Newcastle Upon Tyne, England, UK",2026-07-01,Data Analyst,United Kingdom,N,Not Mentioned
linkedin,Data Analyst,GlobalData Plc,https://www.linkedin.com/jobs/view/4428998361,"Kingston Upon Hull, England, UK",2026-06-22,Data Analyst,United Kingdom,N,Not Mentioned
indeed,Delivery Manager 3,Behavox,https://uk.indeed.com/viewjob?jk=fc1e5054b83ca06c,"Belfast, NIR, GB",2026-07-09,Analytics Engineer,United Kingdom,N,Not Mentioned
indeed,GCP Cloud Architect,NTT DATA,https://uk.indeed.com/viewjob?jk=0ce15b8a820f4436,"London, ENG, GB",2026-07-08,Analytics Engineer,United Kingdom,N,Not Mentioned
indeed,"Interim Director of Product, Tech and Data",Oddbox,https://uk.indeed.com/viewjob?jk=008ae9551c6dfc9b,"London, ENG, GB",2026-07-08,Analytics Engineer,United Kingdom,Y,UK Work Visa (Unspecified)
indeed,Lead Software Engineering - Python - Front Office Quant Developer,JPMorganChase,https://uk.indeed.com/viewjob?jk=1d9627783b3ab559,"London, ENG, GB",2026-07-08,Analytics Engineer,United Kingdom,N,Not Mentioned
indeed,Principal Engineer,HSBC,https://uk.indeed.com/viewjob?jk=08554c35e9b7d7fb,"Sheffield, ENG, GB",2026-07-08,Analytics Engineer,United Kingdom,N,Not Mentioned
linkedin,Digital Analytics Engineer,ASOS.com,https://www.linkedin.com/jobs/view/4434553652,"London, England, UK",2026-07-07,Analytics Engineer,United Kingdom,N,Not Mentioned
linkedin,Junior Analytics Engineer,Cushman & Wakefield,https://www.linkedin.com/jobs/view/4435174959,"London, England, UK",2026-06-30,Analytics Engineer,United Kingdom,N,Not Mentioned
linkedin,Analytics Engineer II,Spotify,https://www.linkedin.com/jobs/view/4414541233,"London, England, UK",2026-06-25,Analytics Engineer,United Kingdom,N,Not Mentioned
linkedin,Data Engineer - £150k-£200k TC,Saragossa,https://www.linkedin.com/jobs/view/4405516798,"Greater London, England, UK",2026-06-24,Analytics Engineer,United Kingdom,N,Not Mentioned
linkedin,Senior Analytics Engineer,Bauer Media Outdoor UK,https://www.linkedin.com/jobs/view/4437817307,"London, England, UK",2026-06-12,Analytics Engineer,United Kingdom,N,Not Mentioned
indeed,Growth and Development Executive,Juniper Training,https://uk.indeed.com/viewjob?jk=536c2b38b77d7a09,"Wolverhampton, ENG, GB",2026-07-08,Business Intelligence,United Kingdom,N,Not Mentioned
indeed,AI Engineer,Bumper,https://uk.indeed.com/viewjob?jk=cceab028c43bcb1c,"Sheffield, ENG, GB",2026-07-08,Business Intelligence,United Kingdom,Y,UK Work Visa (Unspecified)
indeed,Finance Data Engineering Lead,,https://uk.indeed.com/viewjob?jk=1bdeed820962fee3,"Manchester, ENG, GB",2026-07-08,Business Intelligence,United Kingdom,N,Not Mentioned
indeed,Off Cycle Intern - Aiden Edge,RBC,https://uk.indeed.com/viewjob?jk=0c2a919bf7413dfd,"London, ENG, GB",2026-07-08,Business Intelligence,United Kingdom,N,Not Mentioned
indeed,Head of Technology Sales & Partnerships,Tropic Biosciences,https://uk.indeed.com/viewjob?jk=67133a79bcdbfed7,"Norwich, ENG, GB",2026-07-08,Business Intelligence,United Kingdom,N,Not Mentioned
linkedin,Business Intelligence Analyst,Wolfspeed,https://www.linkedin.com/jobs/view/4435491070,"Belfast, Northern Ireland, UK",2026-07-03,Business Intelligence,United Kingdom,N,Not Mentioned
linkedin,Senior Business Intelligence Developer/Analyst,Anaplan,https://www.linkedin.com/jobs/view/4436498828,"Salford, England, UK",2026-07-03,Business Intelligence,United Kingdom,N,Not Mentioned
linkedin,Business Intelligence Manager,NorthStandard,https://www.linkedin.com/jobs/view/4433065938,"Newcastle Upon Tyne, England, UK",2026-06-25,Business Intelligence,United Kingdom,N,Not Mentioned
linkedin,Business Intelligence Analyst,Spencer - Richardson,https://www.linkedin.com/jobs/view/4432817107,"Kilmarnock, Scotland, UK",2026-06-24,Business Intelligence,United Kingdom,N,Not Mentioned
linkedin,Data Analyst,GlobalData Plc,https://www.linkedin.com/jobs/view/4428998361,"Kingston Upon Hull, England, UK",2026-06-22,Business Intelligence,United Kingdom,N,Not Mentioned
indeed,Senior D365 Business Systems Analyst,Kepak Group,https://ie.indeed.com/viewjob?jk=a4e6e7db82476fe7,"Dublin, D, IE",2026-07-08,Data Analyst,Ireland,N,Not Mentioned
indeed,NetSuite System Analyst,TLI Group,https://ie.indeed.com/viewjob?jk=5ac011d36adcb348,"Remote, IE",2026-07-08,Data Analyst,Ireland,N,Not Mentioned
indeed,VIE - Junior Risk Analyst - Dublin - H/F,BNP Paribas,https://ie.indeed.com/viewjob?jk=887cbf771227b5dc,"Dublin, D, IE",2026-07-08,Data Analyst,Ireland,N,Not Mentioned
indeed,"Investigations Analyst, Threats",Meta,https://ie.indeed.com/viewjob?jk=2d9d3f29755d87c9,"Dublin, D, IE",2026-07-07,Data Analyst,Ireland,N,Not Mentioned
indeed,Lead Marketing Analyst,Social Discovery Group,https://ie.indeed.com/viewjob?jk=94f62935bbd20ac1,"Remote, IE",2026-07-01,Data Analyst,Ireland,N,Not Mentioned
linkedin,AI Analysis & Performance Analyst,TikTok,https://www.linkedin.com/jobs/view/4436217563,"Dublin, County Dublin, Ireland",2026-07-06,Data Analyst,Ireland,N,Not Mentioned
linkedin,Data Reporting Analyst,ViClarity Europe,https://www.linkedin.com/jobs/view/4435477486,"Tralee, County Kerry, Ireland",2026-07-03,Data Analyst,Ireland,N,Not Mentioned
linkedin,Analytics Engineer,Jacobs,https://www.linkedin.com/jobs/view/4427564673,"Cork, County Cork, Ireland",2026-07-03,Data Analyst,Ireland,N,Not Mentioned
linkedin,Product Data Analyst II,F5,https://www.linkedin.com/jobs/view/4427047201,"Cork, County Cork, Ireland",2026-07-02,Data Analyst,Ireland,N,Not Mentioned
linkedin,Data Analyst,Holafly,https://www.linkedin.com/jobs/view/4407921719,"Dublin, County Dublin, Ireland",2026-05-01,Data Analyst,Ireland,N,Not Mentioned
indeed,Senior Webflow Developer,Prove,https://ie.indeed.com/viewjob?jk=005bc422624d42a0,"Dublin, D, IE",2026-07-08,Analytics Engineer,Ireland,N,Not Mentioned
indeed,Senior Product Manager – Reporting & Visualisation,Kitman Labs,https://ie.indeed.com/viewjob?jk=3f498b744b875d1b,"Dublin, D, IE",2026-07-08,Analytics Engineer,Ireland,N,Not Mentioned
indeed,Senior AWS Engineer,Resmed,https://ie.indeed.com/viewjob?jk=7afb178cf154db25,"Dublin, D, IE",2026-07-08,Analytics Engineer,Ireland,N,Not Mentioned
indeed,Software Development Engineer in Test (SDET),Resmed,https://ie.indeed.com/viewjob?jk=50089e60c28a8a06,"Dublin, D, IE",2026-07-08,Analytics Engineer,Ireland,N,Not Mentioned
indeed,AWS Engineer,Resmed,https://ie.indeed.com/viewjob?jk=a96e8251100d2d2b,"Dublin, D, IE",2026-07-08,Analytics Engineer,Ireland,N,Not Mentioned
linkedin,Data Engineer,Crossley Scott,https://www.linkedin.com/jobs/view/4429869567,"Dublin, County Dublin, Ireland",2026-06-24,Analytics Engineer,Ireland,N,Not Mentioned
linkedin,Senior Data Engineer,TechShack,https://www.linkedin.com/jobs/view/4432233095,"Dublin, County Dublin, Ireland",2026-06-23,Analytics Engineer,Ireland,N,Not Mentioned
linkedin,Data Engineer,Creditsafe,https://www.linkedin.com/jobs/view/4430980179,"Dublin, County Dublin, Ireland",2026-06-19,Analytics Engineer,Ireland,N,Not Mentioned
linkedin,Senior Analytics Engineer,Beeline,https://www.linkedin.com/jobs/view/4428811507,,2026-06-15,Analytics Engineer,Ireland,N,Not Mentioned
linkedin,"ML Engineer, Ai & Data Platforms",Apple,https://www.linkedin.com/jobs/view/4414168343,"Cork, County Cork, Ireland",2026-05-13,Analytics Engineer,Ireland,N,Not Mentioned
indeed,Senior D365 Business Systems Analyst,Kepak Group,https://ie.indeed.com/viewjob?jk=a4e6e7db82476fe7,"Dublin, D, IE",2026-07-08,Business Intelligence,Ireland,N,Not Mentioned
indeed,Business & Market Intelligence Analyst,ABB,https://ie.indeed.com/viewjob?jk=c9ee19dc90e2a0e5,"Cork, C, IE",2026-07-08,Business Intelligence,Ireland,Y,Irish Work Permit
indeed,Manager - Airport Advisory,daa,https://ie.indeed.com/viewjob?jk=9edff60531389759,"Dublin, D, IE",2026-07-07,Business Intelligence,Ireland,N,Not Mentioned
indeed,"Manager, Business Intelligence and Market Insights",legalandgeneral,https://ie.indeed.com/viewjob?jk=63192c0486eedd56,"DUBLIN 1, D, IE",2026-07-07,Business Intelligence,Ireland,N,Not Mentioned
indeed,"Manager, Business Intelligence and Market Insights",legalandgeneral,https://ie.indeed.com/viewjob?jk=c32afe6dd338de70,"DUBLIN 1, D, IE",2026-07-07,Business Intelligence,Ireland,N,Not Mentioned
linkedin,Data Analyst Excel - Remote,YO IT Consulting,https://www.linkedin.com/jobs/view/4435289665,,2026-07-03,Business Intelligence,Ireland,N,Not Mentioned
linkedin,Data Analyst,Fruition Group Ireland,https://www.linkedin.com/jobs/view/4431589756,"Dublin, County Dublin, Ireland",2026-06-30,Business Intelligence,Ireland,N,Not Mentioned
linkedin,Data Analyst,Spait Infotech,https://www.linkedin.com/jobs/view/4431921896,,2026-06-30,Business Intelligence,Ireland,N,Not Mentioned
linkedin,Data Analyst,eir business talent,https://www.linkedin.com/jobs/view/4432263064,"Dublin, County Dublin, Ireland",2026-06-23,Business Intelligence,Ireland,N,Not Mentioned
linkedin,Data Analyst Excel - Remote,YO IT Consulting,https://www.linkedin.com/jobs/view/4429445050,,2026-06-23,Business Intelligence,Ireland,N,Not Mentioned
indeed,#EG Data Analyst,NCS,https://sg.indeed.com/viewjob?jk=9271218dae3b5cf6,"Singapore, S00, SG",2026-07-09,Data Analyst,Singapore,N,Not Mentioned
indeed,IT Service Desk Analyst,Altrad Services singapore,https://sg.indeed.com/viewjob?jk=a62850a78c89269d,"Pioneer, S00, SG",2026-07-09,Data Analyst,Singapore,N,Not Mentioned
indeed,IT Solution Analyst,DHL,https://sg.indeed.com/viewjob?jk=8afda907c1696fde,SG,2026-07-08,Data Analyst,Singapore,N,Not Mentioned
indeed,#EG Data Analyst,DataSpark Pte Ltd,https://sg.indeed.com/viewjob?jk=e0563e1349383090,"Singapore, S00, SG",2026-07-08,Data Analyst,Singapore,N,Not Mentioned
indeed,"Intern, Business Analyst",Johnson Controls,https://sg.indeed.com/viewjob?jk=6e1e2e334eeafa46,"Singapore, S00, SG",2026-07-08,Data Analyst,Singapore,N,Not Mentioned
linkedin,Data Analyst,"Williams-Sonoma, Inc.",https://www.linkedin.com/jobs/view/4436189757,,2026-07-02,Data Analyst,Singapore,N,Not Mentioned
linkedin,Data Analyst,Constructor Tech,https://www.linkedin.com/jobs/view/4432552682,"Singapore, Singapore",2026-06-24,Data Analyst,Singapore,N,Not Mentioned
linkedin,Data Generalist,Millipede,https://www.linkedin.com/jobs/view/4429433357,"Singapore, Singapore",2026-06-23,Data Analyst,Singapore,N,Not Mentioned
linkedin,Data Analyst (Finance),Sea,https://www.linkedin.com/jobs/view/4432238200,"Singapore, Singapore",2026-06-23,Data Analyst,Singapore,N,Not Mentioned
linkedin,Data Analyst,Advanced Energy,https://www.linkedin.com/jobs/view/4410826129,"Singapore, Singapore",2026-06-19,Data Analyst,Singapore,N,Not Mentioned
indeed,Automation Specialist (12 months contract),Yara,https://sg.indeed.com/viewjob?jk=284bbfef9b5a4810,"Singapore, S00, SG",2026-07-09,Analytics Engineer,Singapore,N,Not Mentioned
